approach,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,false_positive_rate,false_negative_rate
Rule-Based (Strict),0.9672131147540983,0.9076923076923077,0.9365079365079365,0.9465468837731611,0.907634874458442,59,2,6,135,0.014598540145985401,0.09230769230769231
Rule-Based (Standard),0.8076923076923077,0.9692307692307692,0.8811188811188811,0.9298708590679394,0.7927412267854005,63,15,2,122,0.10948905109489052,0.03076923076923077
Rule-Based (Relaxed),0.5078125,1.0,0.6735751295336787,0.7700729927007299,0.5078125,65,63,0,74,0.45985401459854014,0.0
ML: LGBMClassifier,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9993823694553622,0.9986310672326555,64,1,1,136,0.0072992700729927005,0.015384615384615385
ML: LogisticRegression,0.8783783783783784,1.0,0.935251798561151,0.9970241437394721,0.9923006171798399,65,9,0,128,0.06569343065693431,0.0
ML: XGBClassifier,0.9701492537313433,1.0,0.9848484848484849,0.9987085906793935,0.997018774431829,65,2,0,135,0.014598540145985401,0.0
